spend time: 11, cur_state: 22, cur_clip:22
spend time: 11, cur_state: 22, cur_clip:22
spend time: 11, cur_state: 22, cur_clip:22
spend time: 11, cur_state: 23, cur_clip:4
spend time: 11, cur_state: 23, cur_clip:4
spend time: 11, cur_state: 23, cur_clip:4
spend time: 11, cur_state: 23, cur_clip:4
spend time: 11, cur_state: 23, cur_clip:4
spend time: 11, cur_state: 23, cur_clip:4
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 23, cur_clip:23
spend time: 11, cur_state: 24, cur_clip:24
spend time: 11, cur_state: 24, cur_clip:24
spend time: 11, cur_state: 24, cur_clip:24
spend time: 11, cur_state: 24, cur_clip:24
spend time: 11, cur_state: 24, cur_clip:24
spend time: 11, cur_state: 25, cur_clip:25
spend time: 11, cur_state: 26, cur_clip:26
spend time: 11, cur_state: 26, cur_clip:26
spend time: 11, cur_state: 28, cur_clip:4
spend time: 11, cur_state: 28, cur_clip:4
spend time: 11, cur_state: 28, cur_clip:7
spend time: 11, cur_state: 28, cur_clip:7
spend time: 11, cur_state: 28, cur_clip:7
spend time: 11, cur_state: 28, cur_clip:7
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 28, cur_clip:14
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:6
spend time: 11, cur_state: 29, cur_clip:10
spend time: 11, cur_state: 29, cur_clip:10
spend time: 11, cur_state: 29, cur_clip:10
spend time: 11, cur_state: 29, cur_clip:10
spend time: 11, cur_state: 29, cur_clip:15
spend time: 11, cur_state: 29, cur_clip:15
spend time: 11, cur_state: 30, cur_clip:5
spend time: 11, cur_state: 30, cur_clip:6
spend time: 11, cur_state: 30, cur_clip:15
spend time: 11, cur_state: 30, cur_clip:15
spend time: 11, cur_state: 30, cur_clip:15
spend time: 11, cur_state: 30, cur_clip:15
